"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE904399693693";"HOSE3 WEA 03";"In Planung";"Wind";"2500";"2500";"";"22.2.2019";"Brandenburg";"14913";"Hohenseefeld";"";"";"Hohenseefeld";"Flur3: 129";"12072298";"51,902885";"13,31092";"";"";"Hohenseefeld III";"120";"120";"GE Wind Energy GmbH";"GE2.5-120";"";"";"Horizontalläufer";"Windkraft an Land";"12.3.2021";"";"31.1.2022";"Windpark Hohenseefeld 3 GmbH & Co. KG";"ABR996190795614";"Volleinspeisung";"SGE964696682059";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Hochspannung";"";"";"";"";"";"";"";"";"";""
"SEE972300781289";"HOSE3 WEA 01";"In Planung";"Wind";"2500";"2500";"";"22.2.2019";"Brandenburg";"14913";"Hohenseefeld";"";"";"Hohenseefeld";"Flur1: 14";"12072298";"51,9032";"13,326695";"";"";"Hohenseefeld III";"120";"120";"GE Wind Energy GmbH";"GE2.5-120";"";"";"Horizontalläufer";"Windkraft an Land";"12.3.2021";"";"31.1.2022";"Windpark Hohenseefeld 3 GmbH & Co. KG";"ABR996190795614";"Volleinspeisung";"SGE964696682059";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Hochspannung";"";"";"";"";"";"";"";"";"";""
"SEE959565131486";"WP Kreepen WKA 1";"In Planung";"Wind";"3450";"3450";"";"24.2.2019";"Niedersachsen";"27308";"Kirchlinteln";"";"";"Kreepen";"Flur2: 12/1.";"03361005";"52,983023";"9,364869";"";"";"WP Kreepen";"149";"126";"Vestas Deutschland GmbH";"V126 3.45MW";"";"";"Horizontalläufer";"Windkraft an Land";"10.9.2021";"";"1.1.2020";"ELKO-Wind GmbH & Co. KG";"ABR999051169296";"Volleinspeisung";"SGE957636542841";"EWE NETZ GmbH (SNB951051725711)";"SNB951051725711";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE979724982896";"Halenbeck III WS1";"In Planung";"Wind";"3300";"3300";"";"26.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Warnsdorf";"Flur107: 071";"12070096";"53,268083";"12,27615";"";"";"Halenbeck III WS 1";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"27.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE980706304087";"EE Viertkamp ApS & Co. KG";"In Planung";"Wind";"3450";"3450";"";"25.2.2019";"Niedersachsen";"21726";"Kranenburg";"";"";"Kranenburg";"Flur 6: 182";"03359029";"53,591929";"9,211715";"";"";"EE Viertkamp ApS & Co. KG";"";"";"";"";"";"";"Horizontalläufer";"Windkraft an Land";"25.2.2019";"";"31.12.2019";"EE Urja ApS & Co. KG";"ABR917735483919";"";"SGE907704290754";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"SEE936322761209";"Halenbeck III WS2";"In Planung";"Wind";"3300";"3300";"";"26.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Warnsdorf";"Flur107: 69";"12070096";"53,269899";"12,287462";"";"";"Halenbeck III";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"26.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE939450464387";"WEA1";"In Planung";"Wind";"3600";"3600";"";"26.2.2019";"Schleswig-Holstein";"25873";"Rantrum";"";"";"Rantrum";"Flur 1, Flurstück 16";"01054106";"54,462585";"9,144559";"";"";"WKN Windkraft Nord GmbH & Co. Bürgerwindpark Rantrum KG";"91";"117";"Nordex SE";"N117/3600 Delta";"";"";"Horizontalläufer";"Windkraft an Land";"4.1.2023";"";"1.6.2023";"WKN Windkraft Nord GmbH & Co. Bürgerwindpark Rantrum KG";"ABR939369547454";"Volleinspeisung";"SGE936700247684";"Schleswig-Holstein Netz AG (SNB919861978666)";"SNB919861978666";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE980050227988";"Halenbeck III WS3";"In Planung";"Wind";"3300";"3300";"";"26.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Warnsdorf";"Flur107: 74, 78";"12070096";"53,269449";"12,292575";"";"";"Halenbeck III";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"26.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE919099302769";"Halenbeck III WS4";"In Planung";"Wind";"3300";"3300";"";"26.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Warnsdorf";"Flur107:75";"12070096";"53,267534";"12,294991";"";"";"Halenbeck III";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"26.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE912209308651";"Halenbeck III WS5";"In Planung";"Wind";"3300";"3300";"";"26.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Warnsdorf";"Flur107: 76";"12070096";"53,265059";"12,294082";"";"";"Halenbeck III";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"26.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE951570150391";"WEA 7";"In Planung";"Wind";"2300";"2300";"";"26.2.2019";"Niedersachsen";"27711";"Osterholz-Scharmbeck";"";"";"Osterholz-Scharmbeck";"Flur 30/Flurstück 52";"03356007";"53,243607";"8,747932";"";"";"Windpark Lange Heide II";"138";"82";"ENERCON GmbH";"E-82";"";"";"Horizontalläufer";"Windkraft an Land";"26.2.2019";"";"31.12.2019";"Windpark Lange Heide II GmbH & Co. KG";"ABR949989731874";"";"SGE926399942953";"Osterholzer Stadtwerke GmbH & Co. KG (SNB959255155907)";"SNB959255155907";"";"Hochspannung";"";"";"";"";"";"";"";"";"";""
"SEE970274785159";"Halenbeck III WS6";"In Planung";"Wind";"3300";"3300";"";"27.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Warnsdorf";"Flur107: 78";"12070096";"53,263052";"12,29043";"";"";"Halenbeck III";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"27.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE931802139516";"Halenbeck III WS7";"In Planung";"Wind";"3300";"3300";"";"27.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Halenbeck";"Flur108: 200";"12070096";"53,265584";"12,298999";"";"";"Halenbeck III";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"27.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE909273743037";"Halenbeck III WS8";"In Planung";"Wind";"3300";"3300";"";"27.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Halenbeck";"Flur 108: 201, 202";"12070096";"53,262932";"12,300201";"";"";"Halenbeck III";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"27.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE918226684280";"Halenbeck III WS9";"In Planung";"Wind";"3300";"3300";"";"27.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Halenbeck";"Flur 108: 203";"12070096";"53,260686";"12,301497";"";"";"Halenbeck III";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"27.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE941541371825";"Halenbeck III WS10";"In Planung";"Wind";"3300";"3300";"";"27.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Halenbeck";"Flur108: 204";"12070096";"53,258867";"12,304146";"";"";"Halenbeck III";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"27.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE994892807031";"Halenbeck III WS11";"In Planung";"Wind";"3300";"3300";"";"27.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Halenbeck";"Flur108: 212";"12070096";"53,255718";"12,304449";"";"";"Halenbeck III";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"27.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE955817380367";"Halenbeck III WS12";"In Planung";"Wind";"3300";"3300";"";"27.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Halenbeck";"Flur 108: 217";"12070096";"53,263588";"12,304958";"";"";"Halenbeck III";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"27.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE926820010701";"WEA Hückelhoven-Doveren";"In Planung";"Wind";"3450";"3450";"";"27.2.2019";"Nordrhein-Westfalen";"41836";"Hückelhoven";"";"";"Doveren";"Flur 1 Flurstück 19/20";"05358036";"51,063576";"6,248074";"";"";"WP Hückelhoven-Doveren";"149";"136";"Vestas Deutschland GmbH";"V136-3.45";"";"";"Horizontalläufer";"Windkraft an Land";"27.2.2019";"";"1.10.2020";"Houverather Windenergieanlage Nr. 1 GmbH & Co. KG";"ABR983553255083";"Volleinspeisung";"SGE995593417833";"NEW Netz GmbH (SNB940437318166)";"SNB940437318166";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE947563744517";"WKA 3";"In Planung";"Wind";"3450";"3450";"";"27.2.2019";"Nordrhein-Westfalen";"34388";"Trendelburg";"";"";"Langenthal";"Flur 1, Flurstück 1/1";"05762008";"51,625254";"9,389182";"";"";"Windpark Bad Karlshafen GmbH & Co. KG";"149";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"18.8.2021";"";"30.6.2022";"Windpark Bad Karlshafen GmbH & Co. KG";"ABR920158120842";"Volleinspeisung";"SGE969952089238";"EAM Netz GmbH (SNB971311555230)";"SNB971311555230";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE989863162646";"WKA 4";"In Planung";"Wind";"3450";"3450";"";"27.2.2019";"Nordrhein-Westfalen";"34388";"Trendelburg";"";"";"Langenthal";"Flur 1, Flurstück 1/1";"05762008";"51,625132";"9,382536";"";"";"Windpark Bad Karlshafen GmbH & Co. KG";"149";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"18.8.2021";"";"30.6.2022";"Windpark Bad Karlshafen GmbH & Co. KG";"ABR920158120842";"Volleinspeisung";"SGE969952089238";"EAM Netz GmbH (SNB971311555230)";"SNB971311555230";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE974083510902";"WKA 5";"In Planung";"Wind";"3450";"3450";"";"27.2.2019";"Nordrhein-Westfalen";"34388";"Trendelburg";"";"";"Langenthal";"Flur 1, Flurstück 1/1";"05762008";"51,625657";"9,375967";"";"";"Windpark Bad Karlshafen GmbH & Co. KG";"149";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"18.8.2021";"";"30.6.2022";"Windpark Bad Karlshafen GmbH & Co. KG";"ABR920158120842";"Volleinspeisung";"SGE969952089238";"EAM Netz GmbH (SNB971311555230)";"SNB971311555230";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE942769544190";"Wind of Change 1400";"In Planung";"Wind";"1,4";"1,4";"";"10.3.2019";"Bayern";"87499";"Wildpoldsried";"";"";"";"";"09780147";"";"";"";"";"Wind of Change";"12,1";"1,4";"Sonstige";"Wind of Change 1400";"";"";"Horizontalläufer";"Windkraft an Land";"14.3.2021";"";"3.6.2022";"IP-Hartmann";"ABR917001033619";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"AllgäuNetz GmbH & Co. KG (SNB926394308747)";"SNB926394308747";"";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"";"";"";"";"";"";"";"";""
"SEE946716470495";"HOG-WEA 4";"In Planung";"Wind";"3450";"3450";"";"20.3.2019";"Hessen";"34369";"Hofgeismar";"";"";"Hofgeismar";"1: 1/17";"06633013";"51,513233";"9,35034";"";"";"Windpark Hofgeismar";"137";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"1.4.2021";"";"31.1.2024";"Windpark Hofgeismar GmbH & Co. KG";"ABR916234995633";"Volleinspeisung";"SGE951119504388";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"SEE913098757902";"HOG-WEA 5";"In Planung";"Wind";"3450";"3450";"";"20.3.2019";"Hessen";"34369";"Hofgeismar";"";"";"Hofgeismar";"1: 1/17";"06633013";"51,512549";"9,338072";"";"";"Windpark Hofgeismar";"137";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"1.4.2021";"";"31.1.2024";"Windpark Hofgeismar GmbH & Co. KG";"ABR916234995633";"Volleinspeisung";"SGE951119504388";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"SEE955237544462";"HOG-WEA 6";"In Planung";"Wind";"3450";"3450";"";"20.3.2019";"Hessen";"34369";"Hofgeismar";"";"";"Hofgeismar";"1: 1/17";"06633013";"51,516414";"9,344917";"";"";"Windpark Hofgeismar";"137";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"1.4.2021";"";"31.1.2024";"Windpark Hofgeismar GmbH & Co. KG";"ABR916234995633";"Volleinspeisung";"SGE951119504388";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"SEE973089614263";"WP Werne-Ost";"In Planung";"Wind";"4200";"4200";"";"27.3.2019";"Nordrhein-Westfalen";"59368";"Werne";"";"";"Stockum";"Flur 16 Flurstück 22";"05978040";"51,688328";"7,675078";"";"";"WEA Nord";"112";"136";"Vestas Deutschland GmbH";"V136";"";"";"Horizontalläufer";"Windkraft an Land";"16.3.2023";"";"31.12.2024";"Alterric Windpark Werne GmbH & Co. KG";"ABR957372217133";"Volleinspeisung";"SGE935975645027";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
